task_id,employee_id,department_id,task,data
0x0181ab2acca3150f871a68eb70f30a06,0x0181a851a00927a4f723f89a09fc90a9,0x0181a8574c04b763d0946a8cc1b2adbf,Meet shareholders,\N
0x0181ab2afba5a75a1cda1809c9a4c839,0x0181a851a00927a4f723f89a09fc90a9,0x0181a8574c04b763d0946a8cc1b2adbf,Assess risk,\N
0x0181ab2b16efd511889151cbceafe27c,0x0181a851a00927a4f723f89a09fc90a9,0x0181a8574c04b763d0946a8cc1b2adbf,Plan long term strategy,\N
0x0181ab2b32ac753dd1561f97dc1a39c6,0x0181a851e31abbaa27ec6ef3d1ca1c77,0x0181a8574c04b763d0946a8cc1b2adbf,Set security policies,\N
0x0181ab2b4f7d9dd4e25c337afc63596b,0x0181a851e31abbaa27ec6ef3d1ca1c77,0x0181a858c3f91eba69d67658c53e910f,Choose tech stack,\N
0x0181ab2b89a7a7caa11fce4008ae29c4,0x0181a852063ed502f43276a61ec80dfe,0x0181a858c3f91eba69d67658c53e910f,Build application,\N
0x0181ab2ba2b908961311e144276cdf9d,0x0181a8521d67a9e5cbcf903ad0ca1120,0x0181a8574c04b763d0946a8cc1b2adbf,Plan finances,\N
0x0181ab2bbef62a0fc99438cc690dcac9,0x0181a8521d67a9e5cbcf903ad0ca1120,0x0181a8576c32835eb3d33e3419b57ce6,Perform audit,\N
0x0181ab2be2317486199753f5aadcaacf,0x0181a852352572f9bf7fc186e938bc9f,0x0181a858c3f91eba69d67658c53e910f,Build application,\N
0x0181ab2bfafe0df3cf4d8bfd16650202,0x0181a8524ead89f6dcbeb077c86557c4,0x0181a8576c32835eb3d33e3419b57ce6,Analyze transactions,\N
0x0181ab2c279b2cc8c777e817b459f390,0x0181a8526835225f2910f4af57a56f93,0x0181a858c3f91eba69d67658c53e910f,Build application,\N
0x0181ab2c495fc0c7e1590e55d039dcda,0x0181a8526835225f2910f4af57a56f93,0x0181a857846d0e9a3d888367ffb434ef,Patch servers,\N
