actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2006-02-15 04:34:33
2,NICK,WAHLBERG,2006-02-15 04:34:33
10,CHRISTIAN,GABLE,2006-02-15 04:34:33
19,BOB,FAWCETT,2006-02-15 04:34:33
20,LUCILLE,TRACY,2006-02-15 04:34:33
21,KIRSTEN,PALTROW,2006-02-15 04:34:33
22,ELVIS,MARX,2006-02-15 04:34:33
23,SANDRA,KILMER,2006-02-15 04:34:33
24,CAMERON,STREEP,2006-02-15 04:34:33
26,RIP,CRAWFORD,2006-02-15 04:34:33
29,ALEC,WAYNE,2006-02-15 04:34:33
30,SANDRA,PECK,2006-02-15 04:34:33
35,JUDY,DEAN,2006-02-15 04:34:33
37,VAL,BOLGER,2006-02-15 04:34:33
40,JOHNNY,CAGE,2006-02-15 04:34:33
41,JODIE,DEGENERES,2006-02-15 04:34:33
51,GARY,PHOENIX,2006-02-15 04:34:33
53,MENA,TEMPLE,2006-02-15 04:34:33
55,FAY,KILMER,2006-02-15 04:34:33
59,DUSTIN,TAUTOU,2006-02-15 04:34:33
62,JAYNE,NEESON,2006-02-15 04:34:33
64,RAY,JOHANSSON,2006-02-15 04:34:33
68,RIP,WINSLET,2006-02-15 04:34:33
81,SCARLETT,DAMON,2006-02-15 04:34:33
85,MINNIE,ZELLWEGER,2006-02-15 04:34:33
88,KENNETH,PESCI,2006-02-15 04:34:33
90,SEAN,GUINESS,2006-02-15 04:34:33
96,GENE,WILLIS,2006-02-15 04:34:33
99,JIM,MOSTEL,2006-02-15 04:34:33
103,MATTHEW,LEIGH,2006-02-15 04:34:33
108,WARREN,NOLTE,2006-02-15 04:34:33
110,SUSAN,DAVIS,2006-02-15 04:34:33
117,RENEE,TRACY,2006-02-15 04:34:33
123,JULIANNE,DENCH,2006-02-15 04:34:33
130,GRETA,KEITEL,2006-02-15 04:34:33
133,RICHARD,PENN,2006-02-15 04:34:33
137,MORGAN,WILLIAMS,2006-02-15 04:34:33
138,LUCILLE,DEE,2006-02-15 04:34:33
142,JADA,RYDER,2006-02-15 04:34:33
147,FAY,WINSLET,2006-02-15 04:34:33
157,GRETA,MALDEN,2006-02-15 04:34:33
160,CHRIS,DEPP,2006-02-15 04:34:33
162,OPRAH,KILMER,2006-02-15 04:34:33
169,KENNETH,HOFFMAN,2006-02-15 04:34:33
170,MENA,HOPPER,2006-02-15 04:34:33
175,WILLIAM,HACKMAN,2006-02-15 04:34:33
181,MATTHEW,CARREY,2006-02-15 04:34:33
185,MICHAEL,BOLGER,2006-02-15 04:34:33
188,ROCK,DUKAKIS,2006-02-15 04:34:33
194,MERYL,ALLEN,2006-02-15 04:34:33
197,REESE,WEST,2006-02-15 04:34:33
198,MARY,KEITEL,2006-02-15 04:34:33
200,THORA,TEMPLE,2006-02-15 04:34:33
